name,MEM_MATCH_ID,xapa_ra,xapa_dec,z,r500,Tx,Tx-,Tx+,Lx52,Lx52-,Lx52+,Lx,Lx-,Lx+,richness,richness_err,XCS_NAME
SDSSXCS-124,124,0.80057775,-6.0918182,0.2474828,5.07183856399459,6.87647,0.1228432860000001,0.156682977,4.99948114,0.0203353852793322,0.020836649881966,20.09018483,0.2099786272865635,0.1907684709425687,109.550186,4.4896803,XMMXCS J000312.1-060530.5
SDSSXCS-2789,2789,0.95553986,2.068019,0.105285384,8.703237389471433,4.61426,0.0835647599999998,0.0836632609999998,0.9998460429,0.0044658309548192,0.0045311962110106,3.259034528,0.0325521076598915,0.0369130670826232,38.904396000000006,2.8302057,XMMXCS J000349.3+020404.8
SDSSXCS-290,290,2.7226392,29.161021,0.34849474,3.089259054009391,4.81756,0.2654722450000006,0.2688478380000001,2.844316549,0.0535777676975577,0.0534677365099254,9.468884421,0.3443894055906167,0.2984953202751619,105.09573,5.9943213,XMMXCS J001053.4+290939.6
SDSSXCS-1018,1018,4.4063253,-0.87619162,0.21440332,4.3177326188550795,4.18272,0.1520678559999995,0.1611016140000005,0.7553169376,0.0078401511006996,0.008376524653372,2.349907914,0.0511817704314583,0.0542069554277819,56.996796,3.2192018,XMMXCS J001737.5-005234.2
SDSSXCS-134,134,4.9083898,3.6098177,0.27730444,4.441777732891188,6.52537,0.104617546,0.1047460290000001,4.531084681,0.0208088080930091,0.0221592049709897,17.67671902,0.1831371555437329,0.1738021970910281,108.60438,4.7924843,XMMXCS J001938.0+033635.3
SDSSXCS-119,119,8.464699000000001,-7.8629006,0.3041736,3.499662904721576,4.89118,0.4107132610000006,0.4138130209999993,1.917513722,0.0453188295999313,0.047116334421245,6.432022047,0.3610961060317157,0.3283487393275832,128.19176000000002,5.6970525,XMMXCS J003351.5-075146.4
SDSSXCS-209,209,9.2768176,9.1571879,0.26882175,5.238719925500987,8.33772,0.1867767139999987,0.1869592320000013,4.142106103,0.0235433354580285,0.0245258824180103,18.54722864,0.2628810791251226,0.2696936327660317,101.70913,4.746494,XMMXCS J003706.4+090925.8
SDSSXCS-15,15,11.62825,20.467691,0.103966124,7.422687983243699,3.74253,0.4572513499999999,0.5312154020000004,0.07796857098,0.0029501435390182,0.0028067923536056,0.2305180293,0.0213009031786401,0.0180758554495056,123.355934,3.702013,XMMXCS J004630.7+202803.6
SDSSXCS-71,71,13.996563,26.330304,0.1961017,5.621800641393877,5.775,0.1177987720000004,0.118087816,2.448762831,0.0129762667736699,0.0128955102194887,8.945989387,0.1039868668469452,0.1090706287878138,112.92153,4.16637,XMMXCS J005559.1+261949.0
SDSSXCS-5020,5020,16.061785,25.086602,0.16580287,5.112094257537137,3.97491,0.3306763940000001,0.3341314929999996,0.4462322784,0.0105804786772674,0.0117776422430536,1.355623118,0.0663094494144242,0.0724668135238986,30.468397,3.0966108,XMMXCS J010414.8+250511.7
SDSSXCS-2346,2346,16.448217,-0.34013597,0.30077308,1.0059871198088153,1.35597,0.1690885499999999,0.2640676820000001,0.03577339007,0.0059765993225081,0.0076116733295818,0.07515181276,0.013585421400724,0.0172367148532432,59.87999,4.107582,XMMXCS J010547.5-002024.4
SDSSXCS-586,586,16.541518,0.85239023,0.26237586,2.7635983656298198,2.20571,0.2616343249999999,0.285197385,0.3931102644,0.0159633316753731,0.0212064948198759,0.9555238299,0.0649286506938426,0.0709101452704039,78.23172,4.147247,XMMXCS J010609.9+005108.6
SDSSXCS-11331,11331,16.7056,1.0568871000000002,0.25354633,3.051433816248299,2.95836,0.032996819,0.033162426,4.10210384,0.0202529166801879,0.0202802427085773,11.01322652,0.0710978175898997,0.0803289102173536,31.444715,3.0234592,XMMXCS J010649.3+010324.7
SDSSXCS-28849,28849,17.953107,-0.017865822,0.2743446,2.4107190649550407,2.17255,0.1796610570000001,0.3461631109999996,0.2590928049,0.0122076096202109,0.0198252434574972,0.6269332237,0.0537627984396196,0.0644899401781347,22.96295,2.614236,XMMXCS J011148.7-000104.3
SDSSXCS-31144,31144,18.604062,0.49461554,0.34936443,1.834548396373878,1.82411,0.2127476469999998,0.2018641980000002,0.2250152863,0.0110030654595367,0.0163645967744874,0.5174893926,0.0380324944781848,0.0449813338232168,28.66831,3.2433918,XMMXCS J011424.9+002940.6
SDSSXCS-239,239,28.175568,1.0081747,0.2275947,4.953334762212141,5.86576,0.1516438930000001,0.151937792,3.290979436,0.0232198116149278,0.0223476590300299,12.12038949,0.1784605421682243,0.1877544729182236,93.85281,4.089814,XMMXCS J015242.1+010029.4
SDSSXCS-395,395,28.392295,-1.3044994,0.23913085,4.4415466611111,5.21783,0.1398666240000006,0.1402588260000001,1.791762178,0.015486252131426,0.015147488980417,6.212516976,0.0967260639029472,0.0944360731268298,93.730774,5.118641,XMMXCS J015334.1-011816.1
